题号,本题所用时长,本题所用token数,累计时长,累计使用token数
493,39.2278,1720,20190.1542,1354235
494,39.6163,2129,20229.7706,1356364
495,107.3282,7790,20337.099,1364154
496,41.5421,1835,20378.6416,1365989
497,40.988,1808,20419.6297,1367797
498,45.0686,2079,20464.6991,1369876
499,40.9922,1895,20505.6921,1371771
500,40.3923,2210,20546.0845,1373981
501,40.9997,1933,20587.0844,1375914
502,45.4582,2157,20632.5427,1378071
503,38.4718,1981,20671.0145,1380052
504,39.9648,2033,20710.9794,1382085
505,41.3745,2247,20752.354,1384332
506,106.792,9840,20859.1465,1394172
507,39.4326,1967,20898.5792,1396139
508,29.1615,1914,20927.7412,1398053
509,33.1348,2068,20960.876,1400121
510,35.9911,1954,20996.8673,1402075
511,39.0094,2115,21035.8768,1404190
512,40.4848,1751,21076.3617,1405941
513,37.6419,1860,21114.0036,1407801
514,38.8107,1897,21152.8144,1409698
515,37.7496,1881,21190.5642,1411579
516,38.4111,1933,21228.9754,1413512
517,38.071,1759,21267.0466,1415271
518,39.6715,1959,21306.7182,1417230
519,129.2699,8845,21435.9881,1426075
520,124.7781,6732,21560.7663,1432807
521,37.4449,2189,21598.2113,1434996
522,38.5728,2144,21636.7842,1437140
523,40.3132,2226,21677.0976,1439366
524,44.7215,1978,21721.8191,1441344
525,39.5879,1969,21761.4072,1443313
526,38.3154,2038,21799.7227,1445351
527,39.6035,2404,21839.3266,1447755
528,116.1537,7119,21955.4813,1454874
529,37.7313,2343,21993.2127,1457217
530,39.7517,2135,22032.9644,1459352
531,44.8741,2504,22077.864,1461856
532,37.6795,2282,22115.5436,1464138
533,37.8867,2112,22153.4305,1466250
534,127.5067,8534,22280.9372,1474784
535,38.5985,2327,22319.5364,1477111
536,107.1002,5133,22426.6368,1482244
537,84.7123,4789,22511.3501,1487033
538,40.5768,1944,22551.927,1488977
539,38.7503,1933,22590.6774,1490910
540,36.8231,1824,22627.5006,1492734
541,40.6982,2125,22668.1989,1494859
542,49.0388,2399,22717.2378,1497258
543,40.0063,2155,22757.2442,1499413
544,37.5623,1883,22794.8066,1501296
545,39.8143,1781,22834.6209,1503077
546,37.9561,1751,22872.5771,1504828
547,38.4132,2130,22910.9904,1506958
548,38.6755,2036,22949.6659,1508994
549,39.9005,1908,22989.5666,1510902
550,37.5961,1920,23027.1627,1512822
551,40.4089,2393,23067.5718,1515215
552,38.8676,2106,23106.4395,1517321
553,38.7475,2027,23145.1875,1519348
554,38.9793,2024,23184.1669,1521372
555,36.9105,2042,23221.0775,1523414
556,26.2705,1873,23247.3481,1525287
557,25.6983,1737,23273.0465,1527024
558,25.3031,1836,23298.3497,1528860
559,29.5851,1828,23327.935,1530688
560,26.6696,2099,23354.6062,1532787
561,29.5846,1887,23384.1909,1534674
562,26.0112,1910,23410.2022,1536584
563,26.3832,2145,23436.5855,1538729
564,26.8754,1978,23463.461,1540707
565,27.6515,2248,23491.1126,1542955
566,34.2729,1885,23525.3856,1544840
567,26.0184,1910,23551.4041,1546750
568,105.4449,9055,23656.8742,1555805
569,26.5253,1984,23683.3996,1557789
570,25.896,1840,23709.2957,1559629
571,26.2136,2365,23735.5094,1561994
572,27.2979,1853,23762.8074,1563847
573,28.2586,2310,23791.0661,1566157
574,24.5562,1830,23815.6224,1567987
575,25.9328,2077,23841.5553,1570064
576,31.1282,2170,23872.6836,1572234
577,88.6354,9653,23961.3192,1581887
578,32.8773,2076,23994.1966,1583963
579,30.5415,1964,24024.7382,1585927
580,31.3194,1684,24056.0577,1587611
581,42.533,2173,24098.5909,1589784
582,32.2824,1931,24130.8734,1591715
583,34.3156,2107,24165.1892,1593822
584,31.9873,2139,24197.1765,1595961
585,99.5017,8806,24296.6783,1604767
586,35.4539,2218,24332.1322,1606985
587,33.8371,2016,24365.9697,1609001
588,33.8278,2415,24399.7976,1611416
589,31.6155,1926,24431.4133,1613342
590,33.3048,2015,24464.7182,1615357
591,104.9445,9867,24569.6627,1625224
592,32.7195,2192,24602.3825,1627416
593,29.8215,1980,24632.2041,1629396
594,32.3573,2065,24664.5615,1631461
595,33.0099,1815,24697.5715,1633276
596,33.138,1991,24730.7096,1635267
597,31.8111,2180,24762.5208,1637447
598,30.2796,1901,24792.8005,1639348
599,98.2203,8787,24891.0463,1648135
600,35.0292,2120,24926.0756,1650255
601,107.5789,7400,25033.6545,1657655
602,33.3188,2579,25066.9734,1660234
603,30.4514,1732,25097.4249,1661966
604,31.1444,2118,25128.5694,1664084
605,33.5821,2009,25162.1516,1666093
606,106.1235,8559,25268.2751,1674652
607,31.068,2077,25299.3433,1676729
608,34.6243,1929,25333.9676,1678658
609,31.4211,2058,25365.3889,1680716
610,30.1777,1910,25395.5667,1682626
611,109.1204,6911,25504.6872,1689537
612,33.7882,2327,25538.4756,1691864
613,30.982,2067,25569.4577,1693931
614,31.5514,1796,25601.0092,1695727
615,33.0981,1997,25634.1074,1697724
616,32.2109,2107,25666.3184,1699831
617,30.2719,1895,25696.5905,1701726
618,31.5474,1922,25728.138,1703648
619,103.3699,8524,25831.508,1712172
620,33.0429,1975,25864.5517,1714147
621,35.6556,1966,25900.2074,1716113
622,35.4641,2054,25935.6715,1718167
623,33.6658,2418,25969.3374,1720585
624,153.1196,10220,26122.4572,1730805
625,36.0088,1933,26158.4661,1732738
626,31.57,1770,26190.0361,1734508
627,32.9101,2053,26222.9464,1736561
628,31.6424,2005,26254.5889,1738566
629,30.287,1894,26284.876,1740460
630,31.7029,2077,26316.579,1742537
631,105.904,7768,26422.4831,1750305
632,31.7985,2000,26454.2818,1752305
633,31.2529,1995,26485.5347,1754300
634,31.4587,1863,26516.9935,1756163
635,153.3076,11056,26670.3012,1767219
636,31.3818,2042,26701.6831,1769261
637,32.7706,1889,26734.4538,1771150
638,30.5363,1826,26764.9902,1772976
639,32.6063,2095,26797.5966,1775071
640,34.1576,1970,26831.7543,1777041
641,30.5026,2388,26862.2571,1779429
642,95.714,7724,26957.9711,1787153
643,31.4874,2194,26989.4586,1789347
644,38.3401,1996,27027.7988,1791343
645,31.3591,1846,27059.1581,1793189
646,32.274,1729,27091.4322,1794918
647,32.9351,2008,27124.3674,1796926
648,33.5978,2198,27157.9653,1799124
649,32.9163,2126,27190.8817,1801250
650,157.498,15984,27348.3798,1817234
651,34.1299,2341,27382.5097,1819575
652,31.2085,2172,27413.7183,1821747
653,84.2722,7678,27497.9907,1829425
654,32.6412,1847,27530.632,1831272
655,33.1962,2212,27563.8284,1833484
656,32.4588,1807,27596.2873,1835291
657,31.8685,1831,27628.1558,1837122
658,31.314,2170,27659.4699,1839292
659,31.539,2057,27691.009,1841349
660,32.4918,2242,27723.5009,1843591
661,32.2025,2180,27755.7035,1845771
662,34.3339,2147,27790.0375,1847918
663,30.5566,2107,27820.5942,1850025
664,30.9882,1844,27851.5825,1851869
665,31.5768,1881,27883.1594,1853750
666,30.6246,1975,27913.7841,1855725
667,33.3496,2076,27947.1338,1857801
668,33.028,1799,27980.162,1859600
669,32.5598,1798,28012.7219,1861398
670,30.0957,1848,28042.8177,1863246
671,31.3267,1846,28074.1445,1865092
672,30.3288,2051,28104.4733,1867143
673,30.6771,2249,28135.1505,1869392
674,30.8422,1808,28165.9928,1871200
675,31.1925,1939,28197.1854,1873139
676,89.7951,9715,28287.0055,1882854
677,30.8123,2022,28317.8179,1884876
678,29.8574,2055,28347.6754,1886931
679,32.9392,1793,28380.6147,1888724
680,32.1788,1811,28412.7936,1890535
681,41.5715,2092,28454.3652,1892627
682,38.4121,2066,28492.7774,1894693
683,40.7764,2110,28533.5539,1896803
684,38.8597,2151,28572.4137,1898954
685,39.5531,1907,28611.9668,1900861
686,40.0301,1935,28651.997,1902796
687,38.083,1928,28690.0801,1904724
688,38.4997,2026,28728.5799,1906750
689,37.382,1893,28765.9619,1908643
690,43.7107,2287,28809.6727,1910930
691,38.7846,2156,28848.4575,1913086
692,40.7565,2124,28889.2141,1915210
693,39.2929,2230,28928.5071,1917440
694,38.401,2099,28966.9089,1919539
695,38.9432,1968,29005.8521,1921507
696,40.8776,1764,29046.7299,1923271
697,39.0243,2417,29085.7543,1925688
698,37.6918,2002,29123.4462,1927690
699,37.5037,2066,29160.95,1929756
700,37.346,1740,29198.2961,1931496
701,39.8975,2199,29238.1936,1933695
702,37.4168,2221,29275.6106,1935916
703,38.1218,2123,29313.7325,1938039
704,38.0545,1989,29351.787,1940028
705,37.7599,1857,29389.547,1941885
706,38.7858,1833,29428.3329,1943718
707,38.9861,1875,29467.319,1945593
708,38.9008,1805,29506.22,1947398
709,193.1058,9586,29699.3258,1956984
710,39.129,2105,29738.4549,1959089
711,40.414,2373,29778.869,1961462
712,38.8428,2107,29817.7118,1963569
713,38.0964,1946,29855.8083,1965515
714,37.2662,1862,29893.0746,1967377
715,37.8117,1927,29930.8865,1969304
716,37.1252,1940,29968.0118,1971244
717,37.2305,1992,30005.2424,1973236
718,41.0825,2100,30046.325,1975336
719,40.3454,1925,30086.6705,1977261
720,40.3429,1935,30127.0135,1979196
721,37.2893,1788,30164.3029,1980984
722,43.5687,2618,30207.8717,1983602
723,37.7163,2080,30245.5881,1985682
724,40.1847,2032,30285.7731,1987714
