题号,本题所用时长,本题所用token数,累计时长,累计使用token数
119,94.1913,6255,17553.6581,1107373
120,145.1444,10880,17698.8026,1118253
121,157.5476,9783,17856.3503,1128036
122,75.9528,5325,17932.3031,1133361
123,143.0811,9929,18075.3844,1143290
124,91.3423,5532,18166.7269,1148822
125,97.9938,4970,18264.7208,1153792
126,91.2396,6230,18355.9605,1160022
127,161.5077,11711,18517.4683,1171733
128,90.6883,4915,18608.1567,1176648
129,146.5468,11139,18754.7036,1187787
130,210.7202,15026,18965.4239,1202813
131,93.1043,5228,19058.5283,1208041
132,142.2453,10301,19200.7737,1218342
133,108.894,5312,19309.6678,1223654
134,178.1163,10129,19487.7841,1233783
135,91.3692,5148,19579.1534,1238931
136,163.6141,12032,19742.7677,1250963
137,92.8207,6157,19835.5886,1257120
138,73.5095,4863,19909.0981,1261983
139,184.8043,9556,20093.9025,1271539
140,71.6749,5188,20165.5776,1276727
141,140.3784,10436,20305.9561,1287163
142,92.4391,5940,20398.3953,1293103
143,92.717,5679,20491.1124,1298782
144,222.6365,14702,20713.749,1313484
145,158.5956,11128,20872.3447,1324612
146,166.5438,11075,21038.8886,1335687
147,94.1443,5371,21133.0331,1341058
148,162.2787,10891,21295.3119,1351949
149,165.406,11244,21460.718,1363193
150,141.1655,9301,21601.8837,1372494
151,145.8138,10727,21747.6976,1383221
152,75.2865,6107,21822.9842,1389328
153,161.2956,10414,21984.2799,1399742
154,72.8848,4792,22057.1649,1404534
155,160.2286,9448,22217.3935,1413982
156,138.1169,9628,22355.5105,1423610
157,164.8636,11915,22520.3742,1435525
158,73.2987,4958,22593.673,1440483
159,159.8314,10169,22753.5046,1450652
160,210.2211,15154,22963.7258,1465806
161,195.1998,9699,23158.9256,1475505
162,227.0592,13693,23385.985,1489198
163,75.8132,5351,23461.7983,1494549
164,156.1096,10113,23617.9081,1504662
165,91.3198,6490,23709.228,1511152
166,94.9794,5140,23804.2075,1516292
167,159.9864,10164,23964.1939,1526456
168,166.854,11029,24131.0481,1537485
169,166.1759,12418,24297.2241,1549903
170,234.6588,14437,24531.8831,1564340
171,73.3931,5495,24605.2763,1569835
172,93.8104,5740,24699.0868,1575575
173,100.5098,7635,24799.5967,1583210
174,91.3684,4877,24890.9652,1588087
175,73.8802,4651,24964.8456,1592738
176,92.2369,5616,25057.0826,1598354
177,64.4402,4311,25121.5229,1602665
178,73.2855,5303,25194.8085,1607968
179,164.958,11839,25359.7667,1619807
180,146.7865,11681,25506.5532,1631488
181,90.6683,5736,25597.2216,1637224
182,73.6951,4972,25670.9168,1642196
183,139.5569,10723,25810.4738,1652919
184,137.3892,10002,25947.8631,1662921
185,94.0986,5656,26041.9618,1668577
186,69.7334,4554,26111.6953,1673131
187,186.0524,9126,26297.7478,1682257
188,156.5576,10100,26454.3055,1692357
189,73.099,5209,26527.4046,1697566
190,151.265,10511,26678.6698,1708077
191,91.5629,5040,26770.2328,1713117
192,91.5004,6565,26861.7333,1719682
193,76.6186,5234,26938.352,1724916
194,162.203,10195,27100.5552,1735111
195,79.4569,5546,27180.0122,1740657
196,105.1827,6119,27285.195,1746776
197,161.8415,10270,27447.0367,1757046
198,140.6485,9640,27587.6852,1766686
199,157.4003,9401,27745.0856,1776087
200,145.8148,11126,27890.9005,1787213
201,158.7815,10238,28049.6821,1797451
202,176.2593,9873,28225.9415,1807324
203,166.2855,10541,28392.2271,1817865
204,116.5875,5368,28508.8147,1823233
205,165.8314,11982,28674.6462,1835215
206,73.9842,5025,28748.6305,1840240
207,74.5575,4665,28823.1881,1844905
208,92.761,5507,28915.9492,1850412
209,98.6734,6105,29014.6228,1856517
210,165.8437,10837,29180.4666,1867354
211,143.6246,11366,29324.0912,1878720
212,172.1192,10915,29496.2105,1889635
213,93.0655,6015,29589.2761,1895650
214,91.1587,5736,29680.4349,1901386
215,100.1525,5529,29780.5875,1906915
216,92.0762,5436,29872.6638,1912351
217,143.1044,10595,30015.7683,1922946
218,167.9794,12030,30183.7478,1934976
219,91.2691,4842,30275.0171,1939818
220,230.329,13842,30505.3462,1953660
221,93.5209,5571,30598.8672,1959231
222,164.162,11043,30763.0293,1970274
223,141.9056,9197,30904.9349,1979471
224,172.239,11506,31077.174,1990977
225,142.9079,10277,31220.0821,2001254
226,89.8798,5109,31309.9619,2006363
227,106.4088,6525,31416.3708,2012888
228,90.4185,5650,31506.7894,2018538
229,168.6683,10157,31675.4578,2028695
230,228.0848,14756,31903.5427,2043451
231,94.6986,5523,31998.2415,2048974
232,95.4541,5654,32093.6957,2054628
233,77.8508,5544,32171.5466,2060172
234,93.8222,6206,32265.3689,2066378
235,162.3097,9201,32427.6786,2075579
236,141.7938,9447,32569.4726,2085026
237,144.1496,9855,32713.6223,2094881
238,96.3093,5236,32809.9317,2100117
239,190.2083,10696,33000.1401,2110813
240,94.9108,6729,33095.051,2117542
241,157.7539,9091,33252.805,2126633
242,94.0471,5787,33346.8522,2132420
243,163.6799,10821,33510.5322,2143241
244,159.5204,11517,33670.0527,2154758
245,78.2884,4422,33748.3411,2159180
246,220.6209,15291,33968.9622,2174471
247,162.8216,10040,34131.7838,2184511
248,95.4784,5976,34227.2623,2190487
249,158.8196,10760,34386.082,2201247
250,235.2296,15313,34621.312,2216560
251,140.0368,8987,34761.349,2225547
252,93.876,4990,34855.2252,2230537
253,225.5472,13723,35080.7725,2244260
254,139.9441,9782,35220.7167,2254042
255,167.884,10910,35388.6007,2264952
256,74.7657,5123,35463.3666,2270075
257,73.2093,4802,35536.576,2274877
258,163.89,11077,35700.4661,2285954
259,74.6847,5242,35775.151,2291196
260,226.5148,14003,36001.6659,2305199
261,152.3807,9342,36154.0467,2314541
262,96.4755,6720,36250.5222,2321261
263,156.9049,11722,36407.4272,2332983
264,92.753,5465,36500.1803,2338448
265,221.37,14529,36721.5504,2352977
266,235.2038,16769,36956.7543,2369746
267,158.5438,9611,37115.2982,2379357
268,161.8075,10625,37277.1058,2389982
269,77.016,4756,37354.1219,2394738
270,149.8286,10465,37503.9506,2405203
271,140.9065,8965,37644.8572,2414168
272,96.9827,5431,37741.84,2419599
273,95.225,5602,37837.0651,2425201
274,93.3913,5592,37930.4565,2430793
275,178.919,10684,38109.3756,2441477
276,158.866,9381,38268.2417,2450858
277,144.8874,9749,38413.1292,2460607
278,98.4151,6152,38511.5444,2466759
279,80.6169,5251,38592.1614,2472010
280,162.6501,9537,38754.8116,2481547
281,168.2113,12301,38923.023,2493848
282,148.078,9460,39071.1011,2503308
283,192.9994,10027,39264.1007,2513335
284,142.4187,9820,39406.5195,2523155
285,160.3378,9194,39566.8574,2532349
286,159.5706,10116,39726.4281,2542465
287,197.9628,10286,39924.391,2552751
288,160.113,10261,40084.5041,2563012
289,161.9218,11144,40246.426,2574156
290,92.3351,5748,40338.7612,2579904
291,164.1446,11226,40502.9059,2591130
292,94.0946,5788,40597.0006,2596918
293,235.5784,18422,40832.5792,2615340
294,161.3621,10580,40993.9413,2625920
295,73.5738,4914,41067.5152,2630834
296,179.2992,11674,41246.8145,2642508
297,122.3613,10514,41369.1759,2653022
298,129.909,10620,41499.0851,2663642
299,78.3548,6657,41577.4399,2670299
300,66.7772,5778,41644.2172,2676077
301,131.235,10369,41775.4523,2686446
302,61.2711,4862,41836.7235,2691308
303,133.0508,10992,41969.7744,2702300
304,79.0435,5914,42048.818,2708214
305,151.4362,11020,42200.2543,2719234
306,196.6298,9744,42396.8843,2728978
307,156.2688,10573,42553.1532,2739551
308,146.5229,9442,42699.6762,2748993
309,169.5688,11645,42869.2451,2760638
310,165.2933,10109,43034.5385,2770747
311,166.6419,9787,43201.1805,2780534
312,176.1666,10101,43377.3473,2790635
313,232.7804,15640,43610.1278,2806275
314,148.9599,12973,43759.0878,2819248
315,76.851,5358,43835.939,2824606
316,154.6318,11660,43990.5709,2836266
317,99.3789,6115,44089.95,2842381
318,149.9142,9449,44239.8642,2851830
319,82.7616,5489,44322.6259,2857319
320,100.057,5881,44422.683,2863200
321,105.7795,5234,44528.4626,2868434
322,155.2868,10571,44683.7496,2879005
323,99.518,5221,44783.2678,2884226
324,164.7349,8618,44948.0029,2892844
325,171.186,10062,45119.189,2902906
326,157.0013,10970,45276.1904,2913876
327,178.0374,10944,45454.228,2924820
328,169.2912,10590,45623.5193,2935410
329,99.6371,5859,45723.1565,2941269
330,148.5695,10859,45871.7261,2952128
331,168.7459,10712,46040.4721,2962840
332,167.7837,9461,46208.2559,2972301
333,78.6349,5107,46286.8909,2977408
334,170.9888,10280,46457.8799,2987688
335,165.2759,8990,46623.1558,2996678
336,242.7886,16828,46865.9446,3013506
337,174.1162,10069,47040.061,3023575
338,102.9322,6872,47142.9933,3030447
339,173.1212,9804,47316.1146,3040251
340,182.5733,12882,47498.6881,3053133
341,151.1571,8966,47649.8457,3062099
342,88.6712,5392,47738.5171,3067491
343,101.2285,6590,47839.7456,3074081
344,225.5299,14750,48065.2757,3088831
345,151.6788,9585,48216.9545,3098416
346,241.608,16337,48458.5627,3114753
347,171.6446,10354,48630.2074,3125107
348,80.5367,5300,48710.7444,3130407
349,176.7017,12598,48887.4465,3143005
350,172.6831,10654,49060.1297,3153659
351,175.4121,10237,49235.5419,3163896
352,173.9628,9253,49409.5048,3173149
353,168.8089,10802,49578.3138,3183951
354,174.665,9981,49752.9795,3193932
355,99.7981,6075,49852.7778,3200007
356,101.4549,6018,49954.2328,3206025
357,125.6049,5579,50079.8378,3211604
358,100.6287,5423,50180.4666,3217027
359,78.4507,4662,50258.9174,3221689
360,101.1312,5630,50360.0488,3227319
361,184.4076,10826,50544.4565,3238145
362,78.861,5593,50623.3177,3243738
363,95.9978,5840,50719.3156,3249578
364,71.2734,5322,50790.5892,3254900
365,123.3371,9140,50913.9264,3264040
366,128.5404,10348,51042.4669,3274388
367,71.6596,5105,51114.1267,3279493
368,124.1896,11073,51238.3163,3290566
369,133.2894,11454,51371.6059,3302020
370,135.1534,10023,51506.76,3312043
371,81.3352,5773,51588.0957,3317816
372,134.8919,10249,51722.9877,3328065
373,124.301,10841,51847.2889,3338906
374,120.8103,10846,51968.0994,3349752
375,79.323,5052,52047.4225,3354804
376,144.1705,10406,52191.5931,3365210
377,123.1322,10678,52314.7253,3375888
378,136.7388,10009,52451.4643,3385897
379,121.9704,10415,52573.4352,3396312
380,136.8021,11035,52710.2375,3407347
381,119.3568,9824,52829.5943,3417171
382,134.5969,11792,52964.1913,3428963
383,134.7877,9953,53098.9791,3438916
384,117.6384,10306,53216.6177,3449222
385,143.3764,9988,53359.9942,3459210
386,139.1204,10453,53499.1147,3469663
387,79.0821,5527,53578.197,3475190
388,139.7304,12334,53717.9275,3487524
389,193.6693,15313,53911.597,3502837
390,147.9554,12780,54059.5526,3515617
391,126.1888,11528,54185.7415,3527145
392,76.8242,5742,54262.5658,3532887
393,64.2336,5368,54326.7995,3538255
394,171.1058,13373,54497.9054,3551628
395,136.8013,10638,54634.7072,3562266
396,61.4585,5544,54696.1658,3567810
397,62.0968,4948,54758.2626,3572758
398,61.5728,5332,54819.8355,3578090
399,134.5692,9290,54954.4047,3587380
400,76.7762,5886,55031.1811,3593266
401,116.8118,9984,55147.993,3603250
402,134.2825,10190,55282.2755,3613440
403,132.1439,10963,55414.4195,3624403
404,130.49,9788,55544.9096,3634191
405,82.4926,5655,55627.4024,3639846
406,132.9735,10363,55760.376,3650209
407,80.8062,5303,55841.1824,3655512
408,79.3262,5261,55920.5087,3660773
409,78.6197,5143,55999.1559,3665916
410,76.4513,5370,56075.6074,3671286
411,62.7585,5716,56138.3661,3677002
412,76.0319,5315,56214.3981,3682317
413,74.4712,4797,56288.8694,3687114
414,139.6569,10290,56428.5264,3697404
415,134.564,11860,56563.0904,3709264
416,123.4912,11736,56686.5819,3721000
417,67.112,5780,56753.6939,3726780
418,77.3532,5257,56831.0473,3732037
419,79.5655,5167,56910.6129,3737204
420,86.1369,6490,56996.75,3743694
421,67.2999,5381,57064.05,3749075
422,137.0926,9520,57201.1427,3758595
423,89.6262,5391,57290.769,3763986
424,61.5487,4674,57352.3178,3768660
425,79.1618,5260,57431.4797,3773920
426,192.0969,15351,57623.5766,3789271
427,75.9059,5083,57699.4826,3794354
428,76.2019,5646,57775.6846,3800000
429,133.9143,10022,57909.599,3810022
430,210.2685,14728,58119.8676,3824750
431,75.0777,4504,58194.9453,3829254
432,94.2683,5058,58289.2138,3834312
433,149.5494,9018,58438.7633,3843330
434,224.8331,15326,58663.5966,3858656
435,96.7146,5666,58760.3112,3864322
436,95.7104,4980,58856.0217,3869302
437,132.5135,6126,58988.5353,3875428
438,212.7393,13699,59201.2747,3889127
439,154.557,12171,59355.8318,3901298
440,76.6942,5507,59432.5261,3906805
441,96.3619,5488,59528.8881,3912293
442,94.4167,5435,59623.3049,3917728
443,95.6168,6258,59718.9218,3923986
444,77.3843,5352,59796.3064,3929338
445,95.6036,5590,59891.9101,3934928
446,75.9648,5356,59967.875,3940284
447,145.744,8805,60113.619,3949089
448,99.0024,6156,60212.6215,3955245
449,97.748,5884,60310.3696,3961129
450,97.4805,5886,60407.8503,3967015
451,206.5162,11805,60614.3667,3978820
452,172.5965,10631,60786.9632,3989451
453,97.1997,5442,60884.163,3994893
454,102.9978,5910,60987.1609,4000803
455,151.2007,12310,61138.3617,4013113
456,167.9091,10521,61306.271,4023634
457,94.8009,5393,61401.072,4029027
458,95.6714,5166,61496.7435,4034193
459,67.6879,4597,61564.4315,4038790
460,129.8189,10242,61694.2505,4049032
461,138.463,10310,61832.7136,4059342
462,78.0548,5265,61910.7686,4064607
463,73.873,5466,61984.6417,4070073
464,111.362,9706,62096.0038,4079779
465,71.3795,5966,62167.3834,4085745
466,109.7824,9816,62277.1659,4095561
467,74.0782,4932,62351.2441,4100493
468,85.1201,7102,62436.3643,4107595
469,137.2255,10981,62573.5899,4118576
470,142.5182,11285,62716.1082,4129861
471,141.1169,10055,62857.2252,4139916
472,141.4345,10050,62998.6598,4149966
473,77.5699,5758,63076.2298,4155724
474,124.4566,10390,63200.6865,4166114
475,62.0648,5432,63262.7514,4171546
476,75.9622,4668,63338.7137,4176214
477,77.0332,4913,63415.747,4181127
478,82.5979,5874,63498.345,4187001
479,134.887,10903,63633.2321,4197904
480,77.535,6374,63710.7673,4204278
481,85.0128,5749,63795.7802,4210027
482,131.6338,9462,63927.4141,4219489
483,139.7921,10023,64067.2062,4229512
484,81.2992,5499,64148.5056,4235011
485,75.8204,5149,64224.3261,4240160
486,77.2337,5645,64301.5599,4245805
487,80.2686,5142,64381.8286,4250947
488,78.3389,5680,64460.1676,4256627
489,76.8715,4882,64537.0392,4261509
490,76.1124,5340,64613.1516,4266849
491,132.1576,10633,64745.3093,4277482
492,75.5958,6134,64820.9052,4283616
493,62.572,5593,64883.4773,4289209
494,94.2221,5326,64977.6995,4294535
495,120.9526,8914,65098.6522,4303449
496,118.2962,11308,65216.9485,4314757
497,92.4371,5928,65309.3857,4320685
498,75.2397,5034,65384.6255,4325719
499,76.0805,5546,65460.706,4331265
500,132.5242,10918,65593.2303,4342183
501,132.7544,10811,65725.9848,4352994
502,78.203,5471,65804.1879,4358465
503,119.1626,10026,65923.3506,4368491
504,81.581,5369,66004.9316,4373860
505,102.6577,6490,66107.5894,4380350
506,147.4056,10592,66254.9951,4390942
507,160.7342,12152,66415.7294,4403094
508,92.2661,4857,66507.9956,4407951
509,169.99,12004,66677.9856,4419955
510,250.3979,14639,66928.3836,4434594
511,169.7264,10915,67098.1101,4445509
512,175.1885,10263,67273.2988,4455772
513,83.9353,5037,67357.2343,4460809
514,82.3464,5379,67439.5808,4466188
515,86.3702,6289,67525.9511,4472477
516,96.5018,5502,67622.453,4477979
517,167.6783,10183,67790.1315,4488162
518,77.6229,4740,67867.7545,4492902
519,178.5969,10415,68046.3515,4503317
520,98.182,4850,68144.5336,4508167
521,170.6158,9348,68315.1495,4517515
522,97.5661,5458,68412.7157,4522973
523,96.8871,5273,68509.6029,4528246
524,162.0252,10163,68671.6282,4538409
525,81.5723,4875,68753.2007,4543284
526,235.5771,13564,68988.7779,4556848
527,79.45,5409,69068.228,4562257
528,142.8878,9524,69211.1158,4571781
529,122.0428,11288,69333.1587,4583069
530,121.8255,11676,69454.9843,4594745
531,130.6387,9707,69585.6231,4604452
532,62.8937,5601,69648.517,4610053
533,81.2696,6022,69729.7867,4616075
534,160.1252,11492,69889.912,4627567
535,85.6481,6090,69975.5602,4633657
536,80.2985,5799,70055.8589,4639456
537,137.8258,10970,70193.6848,4650426
538,136.11,10394,70329.795,4660820
539,76.2866,4931,70406.0817,4665751
540,190.6139,14284,70596.6957,4680035
541,89.4638,5072,70686.1596,4685107
542,214.3243,10708,70900.4841,4695815
543,217.4279,12614,71117.9137,4708429
544,195.7497,11266,71313.6636,4719695
545,204.3537,9062,71518.0176,4728757
546,212.9347,10599,71730.9524,4739356
547,103.4985,5125,71834.4541,4744481
548,129.5277,6312,71963.9827,4750793
549,116.5442,5345,72080.5271,4756138
550,92.8822,5075,72173.4094,4761213
551,95.4079,5221,72268.8177,4766434
552,120.0722,5018,72388.89,4771452
553,118.816,5942,72507.7065,4777394
554,209.9869,11389,72717.6936,4788783
555,117.5249,4611,72835.2186,4793394
556,283.6008,16423,73118.8195,4809817
557,198.2906,10041,73317.1102,4819858
558,95.3274,5252,73412.4378,4825110
559,213.4812,11266,73625.9191,4836376
560,120.9278,6190,73746.8474,4842566
561,211.3076,10017,73958.1555,4852583
562,217.5103,11249,74175.6662,4863832
563,95.8021,5499,74271.4688,4869331
564,191.0065,10860,74462.4754,4880191
565,216.1493,13431,74678.6248,4893622
566,152.0158,5791,74830.6407,4899413
567,225.4733,11977,75056.1146,4911390
568,108.3658,5155,75164.4805,4916545
569,96.3208,5503,75260.8017,4922048
570,76.5139,5652,75337.3158,4927700
571,99.2248,5423,75436.5407,4933123
572,173.5269,11617,75610.0684,4944740
573,144.6484,9664,75754.7169,4954404
574,77.7983,4701,75832.5153,4959105
575,165.1468,9097,75997.6622,4968202
576,94.2008,5522,76091.8631,4973724
577,169.6089,10016,76261.4724,4983740
578,179.0043,9468,76440.4775,4993208
579,146.2958,10804,76586.7733,5004012
580,76.5709,5181,76663.3443,5009193
581,99.6928,5584,76763.0373,5014777
582,93.7941,5035,76856.8315,5019812
583,91.1306,6014,76947.9622,5025826
584,106.2809,5290,77054.2437,5031116
585,148.3123,11439,77202.5818,5042555
586,89.6698,5629,77292.2517,5048184
587,153.696,10911,77445.9747,5059095
588,167.4818,9005,77613.4566,5068100
589,172.516,9720,77785.9728,5077820
590,180.4022,10435,77966.3751,5088255
591,183.1341,10207,78149.5092,5098462
592,100.9679,5040,78250.4772,5103502
593,180.5755,11684,78431.0528,5115186
594,96.8669,5442,78527.9198,5120628
595,103.7242,4891,78631.6448,5125519
596,182.245,10831,78813.89,5136350
597,185.05,11556,78998.9405,5147906
598,168.1488,8885,79167.0894,5156791
599,102.846,6194,79269.9364,5162985
600,210.1287,11363,79480.0652,5174348
601,180.4716,10254,79660.5372,5184602
602,104.6275,4777,79765.1648,5189379
603,103.5116,6564,79868.6765,5195943
604,174.199,9891,80042.876,5205834
605,254.5739,13935,80297.4501,5219769
606,87.3977,5584,80384.848,5225353
607,111.6856,5901,80496.5338,5231254
608,86.7424,4868,80583.2772,5236122
609,162.4489,9464,80745.7267,5245586
610,176.0593,12074,80921.7861,5257660
611,83.762,5174,81005.5483,5262834
612,197.6923,9861,81203.2415,5272695
613,117.7273,6625,81320.9699,5279320
614,189.0602,9191,81510.0305,5288511
615,255.7531,14414,81765.7843,5302925
616,292.4294,17006,82058.2138,5319931
617,122.2218,5258,82180.4357,5325189
618,213.867,9080,82394.303,5334269
619,206.6695,11016,82600.9733,5345285
620,98.8742,5135,82699.8475,5350420
621,96.9372,6173,82796.7851,5356593
622,183.7372,9948,82980.5224,5366541
623,93.2308,4996,83073.7533,5371537
624,188.9432,9068,83262.6967,5380605
625,181.294,10069,83443.9911,5390674
626,125.9079,6768,83569.8991,5397442
627,210.7939,12140,83780.6933,5409582
628,179.5601,11175,83960.2538,5420757
629,194.7106,9819,84154.9645,5430576
630,192.9748,11186,84347.9396,5441762
631,169.2882,9384,84517.2282,5451146
632,177.1695,10546,84694.3981,5461692
633,277.9703,14997,84972.3691,5476689
634,203.5514,9524,85175.9205,5486213
635,217.4754,9991,85393.3961,5496204
636,205.8649,10090,85599.2612,5506294
637,117.6267,6755,85716.888,5513049
638,199.7236,9062,85916.6117,5522111
639,116.3871,6229,86032.9992,5528340
640,123.62,5220,86156.6198,5533560
641,292.9296,14128,86449.5498,5547688
642,99.5572,5518,86549.1075,5553206
643,114.8714,5185,86663.979,5558391
644,96.6605,5532,86760.6395,5563923
645,218.8548,12473,86979.4945,5576396
646,225.4386,10260,87204.9332,5586656
647,215.3764,10443,87420.3097,5597099
648,201.4394,9474,87621.7493,5606573
649,211.8389,11875,87833.5882,5618448
650,217.7174,10150,88051.3057,5628598
651,187.7163,11356,88239.0221,5639954
652,126.1408,5598,88365.163,5645552
653,222.2156,10676,88587.3787,5656228
654,184.5065,9814,88771.8854,5666042
655,300.0217,14554,89071.9071,5680596
656,206.795,11006,89278.7026,5691602
657,215.2847,11600,89493.9877,5703202
658,121.2104,5118,89615.1982,5708320
659,106.3852,5223,89721.5835,5713543
660,179.6932,9574,89901.2771,5723117
661,116.82,5899,90018.0973,5729016
662,102.1971,6657,90120.2948,5735673
663,118.7937,5758,90239.0887,5741431
664,295.459,17063,90534.5478,5758494
665,204.5356,10236,90739.0834,5768730
666,295.6419,15575,91034.7257,5784305
667,273.3557,14610,91308.0814,5798915
668,188.6122,10705,91496.6937,5809620
669,204.8449,10593,91701.5387,5820213
670,97.268,5645,91798.8069,5825858
671,212.3498,11488,92011.1568,5837346
672,218.1924,10449,92229.3497,5847795
673,114.3545,5324,92343.7043,5853119
674,117.9576,6675,92461.662,5859794
675,231.0839,13754,92692.746,5873548
676,88.6078,4545,92781.3539,5878093
677,264.2516,16582,93045.6055,5894675
678,211.9678,11294,93257.5734,5905969
679,202.1872,9104,93459.7607,5915073
680,210.5609,9121,93670.3217,5924194
681,118.6179,5646,93788.9397,5929840
682,175.6711,8979,93964.6109,5938819
683,177.9311,10281,94142.5421,5949100
684,208.3647,10603,94350.9069,5959703
685,285.6516,13864,94636.5586,5973567
686,93.0163,5014,94729.575,5978581
687,115.8072,5504,94845.3823,5984085
688,211.5369,9244,95056.9193,5993329
689,174.9303,9536,95231.8498,6002865
690,117.9215,5226,95349.7713,6008091
691,209.1544,10417,95558.9259,6018508
692,208.4422,9715,95767.3681,6028223
693,183.4167,9985,95950.7849,6038208
694,273.8988,14346,96224.6838,6052554
695,186.9898,10567,96411.6737,6063121
696,177.7795,10993,96589.4533,6074114
697,204.7073,13156,96794.1607,6087270
698,123.5512,5297,96917.7119,6092567
699,113.743,5729,97031.455,6098296
700,196.5358,9518,97227.9909,6107814
701,101.0464,4645,97329.0373,6112459
702,213.8801,11207,97542.9176,6123666
703,168.497,8526,97711.4147,6132192
704,102.9069,4627,97814.3221,6136819
705,121.163,5538,97935.4853,6142357
706,210.7637,11649,98146.249,6154006
707,104.4543,5913,98250.7035,6159919
708,119.4613,5660,98370.1649,6165579
709,91.9594,5163,98462.1244,6170742
710,259.8108,10373,98721.9353,6181115
