题号,本题所用时长,本题所用token数,累计时长,累计使用token数
99,13.5616,123,1399.7524,15056
100,13.999,142,1413.7515,15198
101,14.4171,192,1428.1687,15390
102,14.1527,85,1442.3214,15475
103,13.7109,162,1456.0325,15637
104,14.8369,130,1470.8694,15767
105,13.7265,140,1484.5961,15907
106,13.8868,154,1498.483,16061
107,13.1498,192,1511.6329,16253
108,13.732,176,1525.3649,16429
109,13.5325,239,1538.8975,16668
110,14.5157,234,1553.4132,16902
111,13.17,132,1566.5832,17034
112,13.7912,148,1580.3745,17182
113,13.8499,172,1594.2245,17354
114,13.4423,86,1607.6669,17440
115,13.9062,164,1621.5732,17604
116,13.8752,158,1635.4484,17762
117,14.4143,112,1649.8629,17874
118,13.9403,202,1663.8033,18076
119,13.5656,214,1677.369,18290
120,13.6029,191,1690.9719,18481
121,13.9754,98,1704.9474,18579
122,15.7158,109,1720.6633,18688
123,13.6868,100,1734.3502,18788
124,14.1953,148,1748.5455,18936
125,13.503,93,1762.0487,19029
126,14.3319,243,1776.3806,19272
127,14.2795,197,1790.6603,19469
128,13.3997,95,1804.06,19564
129,14.1208,146,1818.1809,19710
130,13.8353,165,1832.0164,19875
131,14.2334,115,1846.2499,19990
132,14.2482,142,1860.4983,20132
133,14.3236,119,1874.822,20251
134,13.5873,108,1888.4094,20359
135,13.9404,99,1902.3499,20458
136,14.0993,189,1916.4492,20647
137,13.4472,190,1929.8965,20837
138,13.7921,122,1943.6887,20959
139,13.2623,114,1956.9512,21073
140,13.9706,156,1970.9219,21229
141,13.7539,163,1984.6758,21392
142,16.0991,169,2000.7751,21561
143,14.0399,142,2014.815,21703
144,14.108,123,2028.9231,21826
145,14.767,180,2043.6902,22006
146,13.7222,169,2057.4125,22175
147,13.7835,133,2071.1961,22308
148,13.1664,160,2084.3626,22468
149,13.9637,203,2098.3263,22671
150,14.2565,116,2112.5829,22787
151,13.6479,164,2126.231,22951
152,13.8668,216,2140.0979,23167
153,13.7562,150,2153.8542,23317
154,13.971,120,2167.8253,23437
155,13.6499,109,2181.4753,23546
156,13.8062,123,2195.2816,23669
157,13.5865,206,2208.8681,23875
158,13.9668,129,2222.835,24004
159,14.0106,142,2236.8457,24146
160,13.6899,115,2250.5356,24261
161,13.9185,76,2264.4542,24337
162,14.0742,112,2278.5285,24449
163,13.6488,124,2292.1774,24573
164,13.5099,157,2305.6873,24730
165,14.3604,277,2320.0478,25007
166,13.8272,132,2333.8751,25139
167,14.6382,149,2348.5134,25288
168,19.7789,200,2368.2924,25488
169,13.8062,170,2382.0987,25658
170,13.5103,117,2395.6091,25775
171,13.7443,183,2409.3535,25958
172,14.2793,180,2423.6329,26138
173,13.8959,203,2437.5288,26341
174,13.7953,88,2451.3242,26429
175,14.6894,94,2466.0136,26523
176,14.3285,140,2480.3422,26663
177,13.9751,156,2494.3174,26819
178,13.4413,150,2507.7587,26969
179,13.9037,182,2521.6625,27151
180,14.1024,209,2535.765,27360
181,13.5633,180,2549.3284,27540
182,13.9522,117,2563.2807,27657
183,13.3981,168,2576.6788,27825
184,13.5383,154,2590.2173,27979
185,13.6286,140,2603.846,28119
186,13.6442,116,2617.4903,28235
187,14.0125,103,2631.5029,28338
188,13.6472,107,2645.1503,28445
189,14.0762,145,2659.2265,28590
190,14.1981,174,2673.4247,28764
191,15.6468,102,2689.0716,28866
192,14.5987,236,2703.6704,29102
193,14.8549,122,2718.5254,29224
194,18.104,141,2736.6295,29365
195,16.1559,186,2752.7855,29551
196,14.5476,175,2767.3332,29726
197,14.4643,151,2781.7976,29877
198,15.0078,137,2796.8056,30014
199,13.9903,93,2810.7959,30107
200,15.391,183,2826.1871,30290
201,13.4524,126,2839.6396,30416
202,13.8115,128,2853.4512,30544
203,13.4997,113,2866.951,30657
204,13.743,124,2880.6941,30781
205,14.9067,129,2895.6009,30910
206,14.7194,158,2910.3203,31068
207,13.8634,113,2924.1838,31181
208,13.8731,174,2938.0571,31355
209,16.2649,251,2954.322,31606
210,13.8438,144,2968.1659,31750
211,15.9662,172,2984.1323,31922
212,13.5265,182,2997.6589,32104
213,14.1588,129,3011.8178,32233
214,13.5706,143,3025.3885,32376
215,13.6448,168,3039.0335,32544
216,13.8767,158,3052.9102,32702
217,13.4708,195,3066.3811,32897
218,13.8853,231,3080.2665,33128
219,13.5208,77,3093.7874,33205
220,13.9006,102,3107.6881,33307
221,14.019,143,3121.7072,33450
222,13.2058,146,3134.913,33596
223,15.1143,121,3150.0275,33717
224,13.4372,168,3163.4647,33885
225,14.7146,181,3178.1794,34066
226,13.1759,149,3191.3554,34215
227,14.766,259,3206.1215,34474
228,14.4263,157,3220.5479,34631
229,18.9919,122,3239.5399,34753
230,14.2201,107,3253.7601,34860
231,14.1773,98,3267.9375,34958
232,13.8733,126,3281.8108,35084
233,17.3102,166,3299.1212,35250
234,13.9711,186,3313.0923,35436
235,15.6024,105,3328.6948,35541
236,14.7457,125,3343.4406,35666
237,14.8224,152,3358.2631,35818
238,13.6847,79,3371.9479,35897
239,14.0547,177,3386.0027,36074
240,13.9014,257,3399.9042,36331
241,13.9886,84,3413.893,36415
242,14.0811,146,3427.9742,36561
243,13.6311,120,3441.6053,36681
244,14.129,228,3455.7345,36909
245,13.9749,78,3469.7095,36987
246,13.741,160,3483.4505,37147
247,13.5748,96,3497.0255,37243
248,13.9368,190,3510.9624,37433
249,14.0344,184,3524.9969,37617
250,14.9146,160,3539.9116,37777
251,14.0532,109,3553.9649,37886
252,13.9826,94,3567.9476,37980
253,13.496,136,3581.4437,38116
254,13.9121,142,3595.3559,38258
255,16.6301,117,3611.9861,38375
256,14.7573,136,3626.7435,38511
257,13.1968,104,3639.9404,38615
258,13.8473,186,3653.7878,38801
259,13.3861,135,3667.1741,38936
260,14.0126,117,3681.1868,39053
261,15.6611,91,3696.8479,39144
262,14.6595,278,3711.5075,39422
263,14.0221,182,3725.5298,39604
264,13.6216,117,3739.1515,39721
265,13.5065,148,3752.6581,39869
266,14.3167,123,3766.9749,39992
267,13.7502,125,3780.7251,40117
268,13.5122,141,3794.2374,40258
269,13.908,95,3808.1455,40353
270,13.3651,121,3821.5107,40474
271,13.6992,78,3835.21,40552
272,13.7173,148,3848.9274,40700
273,14.3069,168,3863.2344,40868
274,13.8328,140,3877.0673,41008
275,13.9104,126,3890.9778,41134
276,14.0405,123,3905.0185,41257
277,13.8295,120,3918.8481,41377
278,13.7914,179,3932.6396,41556
279,14.0958,109,3946.7355,41665
280,13.5539,111,3960.2895,41776
281,14.8575,206,3975.147,41982
282,14.0069,121,3989.1541,42103
283,14.5451,128,4003.6993,42231
284,14.984,139,4018.6834,42370
285,13.5942,111,4032.2776,42481
286,14.2277,148,4046.5055,42629
287,14.0047,137,4060.5103,42766
288,13.5638,137,4074.0743,42903
289,14.3089,178,4088.3833,43081
290,14.0185,175,4102.4018,43256
291,13.4905,134,4115.8924,43390
292,13.8371,159,4129.7296,43549
293,13.6468,222,4143.3765,43771
294,13.5107,163,4156.8874,43934
295,14.0127,119,4170.9001,44053
296,14.3365,187,4185.2367,44240
297,14.2098,172,4199.4466,44412
298,13.6743,182,4213.121,44594
299,14.4991,266,4227.6202,44860
300,14.0544,158,4241.6747,45018
301,13.882,114,4255.5568,45132
302,14.7737,116,4270.3306,45248
303,13.4732,165,4283.8039,45413
304,13.5978,138,4297.4018,45551
305,16.1481,168,4313.5501,45719
306,13.3837,111,4326.9339,45830
307,13.5103,159,4340.4443,45989
308,13.8426,141,4354.287,46130
309,13.2046,176,4367.4916,46306
310,13.6211,149,4381.1129,46455
311,13.8776,152,4394.9906,46607
312,14.1161,103,4409.1068,46710
313,14.0258,178,4423.1327,46888
314,14.6315,349,4437.7643,47237
315,13.8204,140,4451.5848,47377
316,14.0577,223,4465.6425,47600
317,14.6952,174,4480.3378,47774
318,13.9136,113,4494.2515,47887
319,14.3406,153,4508.5922,48040
320,14.6753,172,4523.2676,48212
321,13.6305,148,4536.8982,48360
322,14.0112,139,4550.9096,48499
323,15.2341,119,4566.1437,48618
324,14.4339,93,4580.5777,48711
325,13.3119,147,4593.8897,48858
326,15.0839,179,4608.9737,49037
327,15.8781,163,4624.8518,49200
328,13.4951,163,4638.3471,49363
329,13.9703,177,4652.3175,49540
330,13.8634,139,4666.181,49679
331,13.7464,158,4679.9274,49837
332,13.5715,109,4693.4991,49946
333,13.4775,128,4706.9766,50074
334,13.5597,154,4720.5364,50228
335,13.41,75,4733.9465,50303
336,13.9916,194,4747.9382,50497
337,15.0865,146,4763.0248,50643
338,13.6769,202,4776.7018,50845
339,14.1703,99,4790.8722,50944
340,14.6418,235,4805.514,51179
341,13.4696,77,4818.9837,51256
342,13.3909,112,4832.3747,51368
343,14.4076,256,4846.7825,51624
344,13.3412,122,4860.1238,51746
345,14.6725,134,4874.7964,51880
346,13.9047,211,4888.7013,52091
347,13.7613,140,4902.4627,52231
348,13.9227,194,4916.3855,52425
349,15.038,200,4931.4236,52625
350,13.7609,162,4945.1846,52787
351,13.9719,159,4959.1566,52946
352,13.7229,100,4972.8796,53046
353,13.6801,134,4986.5598,53180
354,14.0749,127,5000.6348,53307
355,13.0551,222,5013.69,53529
356,15.5359,215,5029.226,53744
357,13.6398,134,5042.8659,53878
358,13.7514,134,5056.6174,54012
359,13.9332,100,5070.5507,54112
360,13.6311,127,5084.1819,54239
361,14.4071,155,5098.5891,54394
362,13.6884,183,5112.2776,54577
363,13.5199,169,5125.7976,54746
364,14.3212,120,5140.1189,54866
365,13.9258,79,5154.0448,54945
366,15.1473,154,5169.1922,55099
367,13.9512,101,5183.1435,55200
368,13.9249,180,5197.0685,55380
369,14.0816,110,5211.1503,55490
370,13.9319,128,5225.0823,55618
371,14.8719,117,5239.9543,55735
372,13.8054,138,5253.7598,55873
373,14.1931,196,5267.953,56069
374,13.7574,185,5281.7105,56254
375,13.6781,107,5295.3887,56361
376,14.2116,145,5309.6003,56506
377,14.1624,198,5323.7628,56704
378,13.5841,123,5337.347,56827
379,13.8061,158,5351.1532,56985
380,14.7469,242,5365.9002,57227
381,13.2553,87,5379.1555,57314
382,14.3459,188,5393.5015,57502
383,13.9323,157,5407.4339,57659
384,14.6176,144,5422.0516,57803
385,13.8329,94,5435.8846,57897
386,15.2121,119,5451.0968,58016
387,13.7236,137,5464.8205,58153
388,13.8014,213,5478.6219,58366
389,14.2005,151,5492.8226,58517
390,13.4148,175,5506.2375,58692
391,13.5579,193,5519.7955,58885
392,14.3382,186,5534.1338,59071
393,13.9994,127,5548.1333,59198
394,14.2356,97,5562.369,59295
395,13.5344,152,5575.9035,59447
396,13.8644,170,5589.7679,59617
397,13.8394,95,5603.6074,59712
398,13.4762,153,5617.0837,59865
399,13.4277,83,5630.5114,59948
400,13.8748,160,5644.3864,60108
401,14.0702,159,5658.4566,60267
402,14.4334,120,5672.8901,60387
403,14.8315,211,5687.7218,60598
404,13.878,141,5701.5998,60739
405,14.3087,145,5715.9086,60884
406,13.6061,138,5729.5148,61022
407,13.8201,112,5743.335,61134
408,14.2438,106,5757.579,61240
409,13.6838,137,5771.2629,61377
410,14.9306,151,5786.1935,61528
411,13.6865,162,5799.8801,61690
412,14.0686,133,5813.9488,61823
413,13.9636,82,5827.9126,61905
414,13.2457,100,5841.1584,62005
415,14.2991,230,5855.4577,62235
416,13.801,227,5869.2587,62462
417,13.8159,148,5883.0747,62610
418,13.7688,112,5896.8436,62722
419,13.8844,125,5910.728,62847
420,13.6013,151,5924.3295,62998
421,14.5897,159,5938.9193,63157
422,13.9574,103,5952.8768,63260
423,13.8459,186,5966.7228,63446
424,13.9474,102,5980.6703,63548
425,14.1658,137,5994.8363,63685
426,15.4601,200,6010.2965,63885
427,13.9046,91,6024.2012,63976
428,13.2534,166,6037.4547,64142
429,13.9622,124,6051.417,64266
430,14.0554,103,6065.4725,64369
431,13.5588,93,6079.0314,64462
432,14.4204,112,6093.4519,64574
433,13.554,90,6107.006,64664
434,13.9594,135,6120.9655,64799
435,13.3844,158,6134.3499,64957
436,13.9053,108,6148.2553,65065
437,14.8538,191,6163.1092,65256
438,13.3746,95,6176.4839,65351
439,14.5813,218,6191.0654,65569
440,14.2325,187,6205.2979,65756
441,13.5711,119,6218.8691,65875
442,14.3124,137,6233.1816,66012
443,16.008,285,6249.1897,66297
444,13.5301,188,6262.7198,66485
445,14.2441,119,6276.964,66604
446,13.5663,178,6290.5304,66782
447,13.465,104,6303.9955,66886
448,13.7857,173,6317.7813,67059
449,14.7968,159,6332.5782,67218
450,14.1615,153,6346.7399,67371
451,13.3505,187,6360.0904,67558
452,14.9818,174,6375.0723,67732
453,14.5991,157,6389.6715,67889
454,13.4522,160,6403.1239,68049
455,13.6778,267,6416.8017,68316
456,13.4851,173,6430.287,68489
457,14.1801,186,6444.4672,68675
458,16.4571,124,6460.9243,68799
459,13.6371,167,6474.5615,68966
460,13.9623,98,6488.524,69064
461,15.9105,174,6504.4346,69238
462,13.7681,108,6518.2027,69346
463,13.6968,174,6531.8996,69520
464,16.0154,99,6547.9151,69619
465,14.1013,166,6562.0166,69785
466,14.0643,116,6576.0809,69901
467,15.7667,104,6591.8477,70005
468,14.8142,246,6606.6619,70251
469,13.5184,171,6620.1804,70422
470,13.7238,152,6633.9043,70574
471,13.8648,145,6647.7691,70719
472,13.8554,96,6661.6246,70815
473,13.7691,152,6675.3939,70967
474,13.5666,153,6688.9606,71120
475,14.6323,177,6703.593,71297
476,13.4718,81,6717.0649,71378
477,13.5937,108,6730.6587,71486
478,15.2321,107,6745.8909,71593
479,13.8618,134,6759.7528,71727
480,13.7302,246,6773.4831,71973
481,13.8187,134,6787.3019,72107
482,13.1165,95,6800.4185,72202
483,13.9786,126,6814.3972,72328
484,14.6771,134,6829.0744,72462
485,13.4634,124,6842.5379,72586
486,14.6611,149,6857.1991,72735
487,16.6011,124,6873.8003,72859
488,13.7658,135,6887.5663,72994
489,14.0528,94,6901.6192,73088
490,14.6801,130,6916.2993,73218
491,14.3301,172,6930.6296,73390
492,14.2787,189,6944.9084,73579
493,13.4718,181,6958.3803,73760
494,13.4444,115,6971.8248,73875
495,13.5178,94,6985.3427,73969
496,14.0036,198,6999.3464,74167
497,14.0902,160,7013.4367,74327
498,14.4189,114,7027.8558,74441
499,13.685,114,7041.5409,74555
500,14.5508,143,7056.0918,74698
501,13.5581,116,7069.65,74814
502,13.8918,117,7083.5419,74931
503,14.1378,123,7097.6798,75054
504,13.4685,101,7111.1484,75155
505,15.5837,187,7126.7322,75342
506,14.2674,138,7140.9997,75480
507,13.4122,202,7154.4119,75682
508,13.482,88,7167.894,75770
509,13.6798,142,7181.5739,75912
510,13.5575,104,7195.1315,76016
511,13.0539,162,7208.1855,76178
512,13.7014,141,7221.887,76319
513,13.7926,117,7235.6797,76436
514,13.8302,154,7249.51,76590
515,13.7312,217,7263.2414,76807
516,14.418,131,7277.6595,76938
517,18.6304,161,7296.29,77099
518,13.047,111,7309.337,77210
519,13.9793,133,7323.3165,77343
520,13.4561,92,7336.7727,77435
521,13.8547,119,7350.6275,77554
522,13.8965,153,7364.5242,77707
523,14.085,117,7378.6092,77824
524,13.9902,109,7392.5996,77933
525,13.7607,129,7406.3604,78062
526,13.7194,102,7420.0799,78164
527,14.9655,155,7435.0455,78319
528,13.6141,92,7448.6597,78411
529,14.0469,133,7462.7067,78544
530,13.4731,197,7476.1799,78741
531,13.6578,103,7489.8377,78844
532,14.1015,163,7503.9393,79007
533,13.6239,146,7517.5633,79153
534,13.9647,207,7531.5282,79360
535,14.288,118,7545.8163,79478
536,13.4721,147,7559.2885,79625
537,9.6709,149,7568.9596,79774
538,9.4805,161,7578.4401,79935
539,9.466,80,7587.9062,80015
540,9.422,123,7597.3284,80138
541,9.6058,118,7606.9342,80256
542,9.1207,162,7616.055,80418
543,9.7943,230,7625.8494,80648
544,9.6887,186,7635.5382,80834
545,9.0257,99,7644.564,80933
546,11.0959,164,7655.66,81097
547,9.5398,137,7665.2,81234
548,11.5274,253,7676.7274,81487
549,9.5875,141,7686.3151,81628
550,10.3652,121,7696.6803,81749
551,9.5811,117,7706.2615,81866
552,9.0281,96,7715.2898,81962
553,9.9372,181,7725.2271,82143
554,9.7495,145,7734.9768,82288
555,9.2321,82,7744.2091,82370
556,9.2809,195,7753.4901,82565
557,9.7029,130,7763.1931,82695
558,8.9607,142,7772.1539,82837
559,9.9064,159,7782.0604,82996
560,10.3949,211,7792.4554,83207
561,9.4286,131,7801.8841,83338
562,9.465,139,7811.3492,83477
563,9.4063,198,7820.7555,83675
564,10.1287,194,7830.8844,83869
565,10.0161,308,7840.9007,84177
566,9.3035,163,7850.2043,84340
567,9.3598,139,7859.5642,84479
568,9.1766,146,7868.7409,84625
569,9.8857,130,7878.6268,84755
570,9.0431,194,7887.6699,84949
571,10.0961,128,7897.7661,85077
572,12.6004,168,7910.3667,85245
573,9.5604,115,7919.9272,85360
574,9.5073,77,7929.4347,85437
575,9.2814,101,7938.7162,85538
576,9.8863,150,7948.6027,85688
577,9.2166,116,7957.8194,85804
578,9.2229,86,7967.0425,85890
579,9.1535,125,7976.1961,86015
580,9.7174,162,7985.9136,86177
581,9.7624,124,7995.6761,86301
582,9.5831,108,8005.2593,86409
583,9.7167,224,8014.9761,86633
584,9.5046,145,8024.4808,86778
585,9.8322,235,8034.3131,87013
586,9.307,125,8043.6201,87138
587,9.4455,190,8053.0657,87328
588,9.2435,84,8062.3094,87412
589,10.8504,147,8073.1598,87559
590,9.1779,154,8082.3379,87713
591,9.217,152,8091.555,87865
592,9.5151,109,8101.0702,87974
593,9.2342,224,8110.3045,88198
594,9.4297,139,8119.7344,88337
595,9.4187,89,8129.1532,88426
596,9.1821,167,8138.3353,88593
597,9.3517,133,8147.6871,88726
598,9.3187,82,8157.006,88808
599,11.3951,174,8168.4012,88982
600,9.6149,193,8178.0163,89175
601,9.3893,136,8187.4056,89311
602,9.051,88,8196.4568,89399
603,9.5912,216,8206.0481,89615
604,9.4867,126,8215.5349,89741
605,9.7605,109,8225.2955,89850
606,8.9447,175,8234.2404,90025
607,9.5822,131,8243.8227,90156
608,9.2807,132,8253.1035,90288
609,9.5806,130,8262.6842,90418
610,9.5396,190,8272.224,90608
611,11.3307,131,8283.5547,90739
612,11.5676,114,8295.1224,90853
613,10.5976,194,8305.7201,91047
614,12.2121,90,8317.9323,91137
615,16.8707,121,8334.803,91258
616,10.9684,160,8345.7715,91418
617,11.1553,111,8356.9269,91529
618,11.2716,102,8368.1986,91631
619,11.3674,140,8379.5661,91771
620,11.2854,147,8390.8516,91918
621,10.7984,236,8401.6501,92154
622,12.5094,108,8414.1596,92262
623,13.8451,116,8428.0047,92378
624,12.9119,98,8440.9167,92476
625,12.1544,127,8453.0712,92603
626,14.6287,192,8467.7,92795
627,12.4228,197,8480.1229,92992
628,11.8376,190,8491.9606,93182
629,12.3591,140,8504.3199,93322
630,11.6032,204,8515.9232,93526
631,11.1959,170,8527.1191,93696
632,11.0802,121,8538.1995,93817
633,11.772,124,8549.9715,93941
634,11.0052,111,8560.9768,94052
635,11.5229,98,8572.4999,94150
636,12.1073,100,8584.6072,94250
637,11.0282,284,8595.6356,94534
638,11.2969,100,8606.9326,94634
639,13.003,197,8619.9357,94831
640,11.9766,110,8631.9124,94941
641,14.2779,134,8646.1904,95075
642,12.6597,184,8658.8502,95259
643,11.0458,118,8669.896,95377
644,11.6865,128,8681.5826,95505
645,11.5764,189,8693.1592,95694
646,11.3252,140,8704.4845,95834
647,10.9058,114,8715.3904,95948
648,12.2985,124,8727.689,96072
649,11.2812,163,8738.9703,96235
650,10.7547,99,8749.725,96334
651,12.0375,187,8761.7626,96521
652,11.5214,177,8773.2842,96698
653,10.7687,137,8784.053,96835
654,11.851,147,8795.9041,96982
655,10.4266,101,8806.3307,97083
656,12.0203,136,8818.3511,97219
657,11.805,153,8830.1562,97372
658,10.8689,114,8841.0252,97486
659,11.6276,115,8852.6529,97601
660,11.6828,117,8864.3358,97718
661,11.397,221,8875.7329,97939
662,12.3491,287,8888.0821,98226
663,11.2311,127,8899.3133,98353
664,12.1691,112,8911.4824,98465
665,12.1547,147,8923.6373,98612
666,15.1186,188,8938.7559,98800
667,11.3497,148,8950.1057,98948
668,11.375,175,8961.4808,99123
669,10.8717,177,8972.3526,99300
670,11.2892,167,8983.6418,99467
671,11.4963,183,8995.1382,99650
672,11.6957,125,9006.834,99775
673,11.2235,118,9018.0576,99893
674,12.6819,229,9030.7396,100122
675,11.3,306,9042.0397,100428
676,11.5364,124,9053.5762,100552
677,12.3726,180,9065.9489,100732
678,10.6319,234,9076.5808,100966
679,10.8459,87,9087.4268,101053
680,11.4386,95,9098.8655,101148
681,11.3746,176,9110.2402,101324
682,11.3659,77,9121.6061,101401
683,11.9951,149,9133.6013,101550
684,14.7236,122,9148.325,101672
685,10.8309,96,9159.156,101768
686,13.2033,201,9172.3594,101969
687,11.973,127,9184.3325,102096
688,11.4379,107,9195.7705,102203
689,11.2049,127,9206.9755,102330
690,11.1923,92,9218.1679,102422
691,11.4272,97,9229.5951,102519
692,11.5776,115,9241.1728,102634
693,11.4134,156,9252.5863,102790
694,11.2364,132,9263.8228,102922
695,11.7989,154,9275.6218,103076
696,11.0283,149,9286.6502,103225
697,11.6587,224,9298.3089,103449
698,10.8722,141,9309.1812,103590
699,12.0662,154,9321.2476,103744
700,11.186,90,9332.4337,103834
701,11.4164,100,9343.8502,103934
702,11.3768,204,9355.2271,104138
703,11.311,110,9366.5382,104248
704,11.4263,98,9377.9646,104346
705,10.9911,113,9388.9559,104459
706,12.8887,127,9401.8446,104586
707,11.5023,125,9413.3471,104711
708,14.8666,132,9428.2138,104843
709,11.0993,133,9439.3131,104976
710,12.7936,101,9452.1069,105077
711,11.3258,149,9463.4328,105226
712,11.1938,74,9474.6267,105300
713,11.2453,123,9485.8721,105423
714,11.6002,103,9497.4723,105526
715,11.3623,111,9508.8347,105637
716,11.2859,137,9520.1207,105774
717,11.0597,161,9531.1805,105935
718,11.2436,170,9542.4242,106105
719,12.3127,114,9554.737,106219
720,10.4661,76,9565.2032,106295
721,12.0197,199,9577.2229,106494
722,11.5686,167,9588.7916,106661
723,11.676,158,9600.4677,106819
724,11.0235,131,9611.4914,106950
725,15.094,135,9626.5855,107085
726,12.5005,98,9639.0861,107183
727,11.5167,116,9650.6029,107299
728,11.4439,91,9662.0468,107390
729,11.0254,120,9673.0723,107510
730,10.9313,179,9684.0037,107689
731,12.1244,154,9696.1282,107843
732,10.7657,172,9706.894,108015
733,11.5483,147,9718.4423,108162
734,11.7447,109,9730.1871,108271
735,11.4805,94,9741.6678,108365
736,10.7243,154,9752.3922,108519
737,11.0002,189,9763.3925,108708
738,11.6921,110,9775.0847,108818
739,11.3951,200,9786.4799,109018
740,11.734,115,9798.214,109133
741,11.7427,227,9809.9568,109360
742,11.1971,132,9821.154,109492
743,11.6112,164,9832.7653,109656
744,10.6889,152,9843.4543,109808
745,14.2275,232,9857.6819,110040
746,10.8579,163,9868.5398,110203
747,11.6304,201,9880.1703,110404
748,11.3464,128,9891.5168,110532
749,11.943,188,9903.4599,110720
750,11.2121,181,9914.6721,110901
751,11.248,91,9925.9203,110992
752,12.3585,143,9938.2789,111135
753,10.6526,206,9948.9315,111341
754,11.5572,162,9960.4888,111503
755,10.8543,126,9971.3433,111629
756,12.9149,186,9984.2583,111815
757,11.6537,206,9995.9121,112021
758,10.734,106,10006.6462,112127
759,11.7778,112,10018.4241,112239
760,14.3507,115,10032.7748,112354
761,10.5858,131,10043.3607,112485
762,11.8408,121,10055.2016,112606
763,11.5467,127,10066.7484,112733
764,11.0698,143,10077.8183,112876
765,12.7502,128,10090.5686,113004
766,10.9323,89,10101.501,113093
767,12.4733,136,10113.9744,113229
768,10.5792,113,10124.5537,113342
769,15.7185,166,10140.2723,113508
770,12.1776,105,10152.45,113613
771,10.7765,119,10163.2266,113732
772,10.8623,151,10174.089,113883
773,12.1017,119,10186.1908,114002
774,11.4043,168,10197.5951,114170
775,11.5872,207,10209.1824,114377
776,11.9847,175,10221.1672,114552
777,10.9579,132,10232.1253,114684
778,12.2244,206,10244.3497,114890
779,11.0026,143,10255.3524,115033
780,11.8445,184,10267.197,115217
781,11.051,136,10278.2481,115353
782,11.2959,148,10289.5442,115501
783,11.3863,102,10300.9305,115603
784,11.9114,159,10312.842,115762
785,10.6707,147,10323.5128,115909
786,12.7523,117,10336.2652,116026
